Site,CODE,LAT,LONG
Rocina_3,AA,37.217028,-6.750167
Rocina_1,AB,37.126189,-6.494883
Rocina_2,AM,37.169642,-6.656992
Guadiamar_3,BA,37.713700,-6.311878
Guadiamar_1,BB,37.246008,-6.267397
Guadiamar_2,BM,37.523886,-6.189606
Rivera_Huelva_3,CA,37.959919,-6.227075
Rivera_Huelva_1,CB,37.517481,-6.043625
Rivera_Huelva_2,CM,37.761544,-6.130425
Viar_3,DA,38.060086,-5.997197
Viar_1,DB,37.614489,-5.831267
Viar_2,DM,37.872283,-5.944709
Hueznar_3,EA,37.995440,-5.659050
Hueznar_1,EB,37.649300,-5.735336
Hueznar_2,EM,37.843185,-5.726570
Bembezar_3,FA,38.237442,-5.599814
Bembezar_1,FB,37.774175,-5.208994
Bembezar_2,FM,38.053667,-5.401867
Guadiato_3,GA,38.258066,-5.3591
Guadiato_1,GB,37.813286,-5.052475
Guadiato_2,GM,37.98314,-4.868386
Guadalmellato_3,HA,38.315136,-4.953744
Guadalmellato_1,HB,37.947753,-4.636282
Guadalmellato_2,HM,38.135075,-4.732747
Yeguas_3,IA,38.374417,-4.310411
Yeguas_1,IB,38.052861,-4.239189
Yeguas_2,IM,38.213705,-4.200422
Jandula_1,JB,38.059386,-4.106638
Jandula_3,JA,38.615989,-3.934633
Jandula_2,JM,38.357611,-3.936311
Arrozales,AR,37.157692,-6.177038
Casablanca,CS,37.226401,-6.142228
El_Cortijo,EC,37.140591,-6.316766
Cerca_Vado_del_Quema,CQ,37.198065,-6.221306
Badajoz,EX,38.910573,-6.796917
Louisiana_1,LA1,30.248486,-91.667678
Louisiana_2,LA2,30.220106,-91.613858
Louisiana_3,LA3,30.147186,-91.628053
Louisiana_4,LA4,30.177022,-91.632511